Source,Target,Type,Id,Label,timeset,Weight,action
147,150,Directed,14639,text_reply,,36,text_reply
150,147,Directed,14641,text_reply,,26,text_reply
134,56,Directed,14643,invite_members,,1,invite_members
114,22,Directed,14644,invite_members,,1,invite_members
23,46,Directed,14645,invite_members,,1,invite_members
45,130,Directed,14646,invite_members,,1,invite_members
45,35,Directed,14647,invite_members,,1,invite_members
147,110,Directed,14648,text_reply,,12,text_reply
147,105,Directed,14650,text_reply,,4,text_reply
150,110,Directed,14652,text_reply,,3,text_reply
101,110,Directed,14653,text_reply,,3,text_reply
147,14,Directed,14655,text_reply,,1,text_reply
101,147,Directed,14656,text_reply,,15,text_reply
64,144,Directed,14658,text_reply,,1,text_reply
101,144,Directed,14659,text_reply,,1,text_reply
147,64,Directed,14660,text_reply,,1,text_reply
150,52,Directed,14661,text_reply,,1,text_reply
47,147,Directed,14665,text_reply,,2,text_reply
17,147,Directed,14666,text_reply,,3,text_reply
147,17,Directed,14667,text_reply,,5,text_reply
47,101,Directed,14668,text_reply,,1,text_reply
47,17,Directed,14669,text_reply,,1,text_reply
105,17,Directed,14671,text_reply,,1,text_reply
150,47,Directed,14676,text_reply,,1,text_reply
150,101,Directed,14677,text_reply,,1,text_reply
101,150,Directed,14678,text_reply,,6,text_reply
147,33,Directed,14679,text_reply,,2,text_reply
150,80,Directed,14683,text_reply,,1,text_reply
80,150,Directed,14684,text_reply,,2,text_reply
150,150,Directed,14685,text_reply,,1,text_reply
33,150,Directed,14687,text_reply,,4,text_reply
33,147,Directed,14688,text_reply,,1,text_reply
147,147,Directed,14694,text_reply,,1,text_reply
70,110,Directed,14696,text_reply,,1,text_reply
110,147,Directed,14701,text_reply,,1,text_reply
80,147,Directed,14706,text_reply,,2,text_reply
147,80,Directed,14707,text_reply,,1,text_reply
37,37,Directed,14710,text_reply,,1,text_reply
147,37,Directed,14711,text_reply,,1,text_reply
147,138,Directed,14712,text_reply,,3,text_reply
101,105,Directed,14715,text_reply,,1,text_reply
102,68,Directed,14716,invite_members,,1,invite_members
33,124,Directed,14717,invite_members,,1,invite_members
25,6,Directed,14718,invite_members,,1,invite_members
149,41,Directed,14719,invite_members,,1,invite_members
91,89,Directed,14720,invite_members,,1,invite_members
90,125,Directed,14721,invite_members,,1,invite_members
100,77,Directed,14722,invite_members,,1,invite_members
105,147,Directed,14729,text_reply,,3,text_reply
147,70,Directed,14730,text_reply,,3,text_reply
150,70,Directed,14732,text_reply,,1,text_reply
105,101,Directed,14735,text_reply,,1,text_reply
147,5,Directed,14736,text_reply,,3,text_reply
5,147,Directed,14737,text_reply,,2,text_reply
17,133,Directed,14739,text_reply,,1,text_reply
147,16,Directed,14740,text_reply,,2,text_reply
70,17,Directed,14744,text_reply,,1,text_reply
105,150,Directed,14747,text_reply,,1,text_reply
102,105,Directed,14748,text_reply,,1,text_reply
150,105,Directed,14749,text_reply,,3,text_reply
147,144,Directed,14750,text_reply,,10,text_reply
150,102,Directed,14751,text_reply,,3,text_reply
138,150,Directed,14756,text_reply,,2,text_reply
133,147,Directed,14757,text_reply,,9,text_reply
133,150,Directed,14760,text_reply,,2,text_reply
47,144,Directed,14766,text_reply,,2,text_reply
142,39,Directed,14767,invite_members,,1,invite_members
140,144,Directed,14768,text_reply,,1,text_reply
13,140,Directed,14769,text_reply,,1,text_reply
140,13,Directed,14770,text_reply,,1,text_reply
147,140,Directed,14771,text_reply,,1,text_reply
110,144,Directed,14772,text_reply,,1,text_reply
147,133,Directed,14775,text_reply,,12,text_reply
65,110,Directed,14778,text_reply,,7,text_reply
24,147,Directed,14779,text_reply,,1,text_reply
105,24,Directed,14780,text_reply,,1,text_reply
138,24,Directed,14781,text_reply,,1,text_reply
138,147,Directed,14788,text_reply,,1,text_reply
150,144,Directed,14790,text_reply,,9,text_reply
47,150,Directed,14791,text_reply,,1,text_reply
147,13,Directed,14794,text_reply,,1,text_reply
