Source,Target,Type,Id,Label,timeset,Weight,action
23,16,Directed,11492,text_reply,,17,text_reply
16,23,Directed,11493,text_reply,,15,text_reply
54,23,Directed,11495,text_reply,,28,text_reply
60,16,Directed,11496,text_reply,,1,text_reply
54,16,Directed,11497,text_reply,,37,text_reply
16,54,Directed,11499,text_reply,,21,text_reply
94,16,Directed,11510,text_reply,,5,text_reply
16,94,Directed,11511,text_reply,,2,text_reply
20,16,Directed,11516,text_reply,,5,text_reply
61,16,Directed,11517,text_reply,,4,text_reply
48,16,Directed,11518,text_reply,,1,text_reply
7,61,Directed,11519,text_reply,,2,text_reply
48,7,Directed,11520,text_reply,,1,text_reply
7,48,Directed,11521,text_reply,,1,text_reply
106,7,Directed,11522,text_reply,,2,text_reply
7,106,Directed,11524,text_reply,,1,text_reply
23,7,Directed,11526,text_reply,,3,text_reply
7,23,Directed,11527,text_reply,,2,text_reply
23,61,Directed,11529,text_reply,,8,text_reply
61,23,Directed,11531,text_reply,,4,text_reply
16,61,Directed,11532,text_reply,,3,text_reply
90,89,Directed,11537,text_reply,,1,text_reply
90,16,Directed,11538,text_reply,,31,text_reply
19,102,Directed,11540,invite_members,,1,invite_members
19,5,Directed,11541,invite_members,,1,invite_members
61,101,Directed,11544,text_reply,,4,text_reply
90,23,Directed,11548,text_reply,,21,text_reply
23,90,Directed,11549,text_reply,,36,text_reply
90,90,Directed,11555,text_reply,,38,text_reply
61,105,Directed,11556,text_reply,,7,text_reply
105,61,Directed,11557,text_reply,,7,text_reply
105,54,Directed,11558,text_reply,,37,text_reply
90,61,Directed,11560,text_reply,,5,text_reply
105,16,Directed,11563,text_reply,,16,text_reply
54,105,Directed,11567,text_reply,,22,text_reply
61,72,Directed,11569,text_reply,,2,text_reply
72,105,Directed,11570,text_reply,,3,text_reply
105,72,Directed,11572,text_reply,,2,text_reply
54,28,Directed,11573,text_reply,,40,text_reply
28,54,Directed,11574,text_reply,,50,text_reply
28,105,Directed,11577,text_reply,,11,text_reply
95,105,Directed,11578,text_reply,,1,text_reply
23,105,Directed,11588,text_reply,,14,text_reply
105,23,Directed,11589,text_reply,,12,text_reply
61,54,Directed,11591,text_reply,,8,text_reply
54,61,Directed,11594,text_reply,,11,text_reply
105,106,Directed,11596,text_reply,,3,text_reply
90,105,Directed,11604,text_reply,,27,text_reply
90,54,Directed,11607,text_reply,,27,text_reply
105,90,Directed,11610,text_reply,,21,text_reply
106,105,Directed,11617,text_reply,,1,text_reply
16,105,Directed,11631,text_reply,,11,text_reply
16,95,Directed,11633,text_reply,,1,text_reply
54,95,Directed,11637,text_reply,,3,text_reply
95,90,Directed,11654,text_reply,,2,text_reply
90,95,Directed,11655,text_reply,,3,text_reply
16,90,Directed,11658,text_reply,,17,text_reply
54,90,Directed,11671,text_reply,,23,text_reply
72,54,Directed,11685,text_reply,,2,text_reply
54,72,Directed,11687,text_reply,,3,text_reply
20,54,Directed,11707,text_reply,,16,text_reply
54,20,Directed,11708,text_reply,,15,text_reply
23,54,Directed,11751,text_reply,,36,text_reply
23,77,Directed,11758,text_reply,,3,text_reply
105,64,Directed,11779,text_reply,,14,text_reply
64,105,Directed,11780,text_reply,,17,text_reply
61,64,Directed,11781,text_reply,,3,text_reply
64,61,Directed,11782,text_reply,,8,text_reply
54,64,Directed,11783,text_reply,,76,text_reply
64,16,Directed,11785,text_reply,,16,text_reply
64,54,Directed,11787,text_reply,,69,text_reply
77,64,Directed,11788,text_reply,,3,text_reply
