Source,Target,Type,Id,Label,timeset,Weight,action
142,107,Directed,5940,text_reply,,4,text_reply
107,142,Directed,5941,text_reply,,2,text_reply
107,323,Directed,5942,text_reply,,1,text_reply
193,323,Directed,5943,text_reply,,4,text_reply
323,107,Directed,5944,text_reply,,1,text_reply
323,193,Directed,5945,text_reply,,4,text_reply
61,107,Directed,5948,text_reply,,1,text_reply
193,61,Directed,5949,text_reply,,4,text_reply
61,193,Directed,5950,text_reply,,8,text_reply
61,323,Directed,5958,text_reply,,3,text_reply
323,61,Directed,5960,text_reply,,3,text_reply
112,193,Directed,5961,text_reply,,1,text_reply
182,296,Directed,5964,text_reply,,2,text_reply
182,196,Directed,5967,invite_members,,1,invite_members
107,193,Directed,5972,text_reply,,1,text_reply
323,99,Directed,5973,text_reply,,3,text_reply
99,107,Directed,5974,text_reply,,5,text_reply
107,99,Directed,5975,text_reply,,3,text_reply
28,264,Directed,5977,text_reply,,2,text_reply
107,106,Directed,5979,text_reply,,3,text_reply
61,178,Directed,5980,text_reply,,4,text_reply
61,61,Directed,5983,text_reply,,1,text_reply
296,196,Directed,5984,text_reply,,1,text_reply
313,99,Directed,5985,text_reply,,2,text_reply
313,264,Directed,5987,text_reply,,1,text_reply
264,313,Directed,5988,text_reply,,1,text_reply
264,99,Directed,5989,text_reply,,1,text_reply
107,264,Directed,5990,text_reply,,3,text_reply
264,107,Directed,5991,text_reply,,2,text_reply
111,296,Directed,5994,text_reply,,2,text_reply
296,111,Directed,5995,text_reply,,1,text_reply
127,296,Directed,5996,text_reply,,1,text_reply
323,139,Directed,5997,text_reply,,3,text_reply
139,323,Directed,5998,text_reply,,1,text_reply
196,127,Directed,5999,text_reply,,1,text_reply
231,61,Directed,6000,text_reply,,2,text_reply
127,196,Directed,6001,text_reply,,1,text_reply
43,99,Directed,6002,text_reply,,1,text_reply
178,61,Directed,6003,text_reply,,1,text_reply
61,231,Directed,6004,text_reply,,3,text_reply
130,193,Directed,6008,text_reply,,3,text_reply
193,130,Directed,6009,text_reply,,2,text_reply
158,164,Directed,6012,text_reply,,1,text_reply
164,158,Directed,6013,text_reply,,1,text_reply
296,127,Directed,6014,text_reply,,1,text_reply
163,99,Directed,6017,text_reply,,1,text_reply
307,323,Directed,6018,text_reply,,2,text_reply
323,307,Directed,6019,text_reply,,4,text_reply
193,193,Directed,6021,text_reply,,1,text_reply
307,193,Directed,6022,text_reply,,2,text_reply
307,95,Directed,6023,text_reply,,1,text_reply
163,132,Directed,6025,invite_members,,1,invite_members
61,119,Directed,6026,text_reply,,3,text_reply
125,290,Directed,6029,invite_members,,2,invite_members
95,318,Directed,6030,invite_members,,1,invite_members
142,193,Directed,6034,text_reply,,3,text_reply
193,142,Directed,6035,text_reply,,4,text_reply
323,28,Directed,6037,text_reply,,3,text_reply
107,107,Directed,6038,text_reply,,1,text_reply
107,231,Directed,6040,text_reply,,2,text_reply
231,107,Directed,6042,text_reply,,2,text_reply
323,231,Directed,6043,text_reply,,1,text_reply
28,121,Directed,6045,text_reply,,1,text_reply
28,158,Directed,6046,text_reply,,1,text_reply
231,28,Directed,6047,text_reply,,2,text_reply
188,231,Directed,6051,text_reply,,1,text_reply
142,188,Directed,6052,text_reply,,2,text_reply
313,231,Directed,6053,text_reply,,1,text_reply
99,313,Directed,6054,text_reply,,1,text_reply
323,313,Directed,6055,text_reply,,2,text_reply
313,291,Directed,6058,text_reply,,4,text_reply
61,99,Directed,6060,text_reply,,1,text_reply
231,264,Directed,6062,text_reply,,1,text_reply
139,164,Directed,6063,text_reply,,4,text_reply
164,139,Directed,6064,text_reply,,4,text_reply
164,107,Directed,6065,text_reply,,3,text_reply
28,99,Directed,6066,text_reply,,1,text_reply
260,193,Directed,6068,text_reply,,2,text_reply
193,260,Directed,6069,text_reply,,1,text_reply
231,260,Directed,6071,text_reply,,1,text_reply
260,231,Directed,6072,text_reply,,1,text_reply
61,260,Directed,6073,text_reply,,2,text_reply
291,313,Directed,6075,text_reply,,4,text_reply
313,107,Directed,6080,text_reply,,1,text_reply
231,291,Directed,6081,text_reply,,1,text_reply
107,163,Directed,6083,text_reply,,2,text_reply
163,107,Directed,6085,text_reply,,1,text_reply
193,95,Directed,6089,text_reply,,1,text_reply
107,5,Directed,6090,text_reply,,16,text_reply
139,118,Directed,6091,text_reply,,74,text_reply
118,139,Directed,6093,text_reply,,50,text_reply
118,142,Directed,6094,text_reply,,8,text_reply
293,118,Directed,6095,text_reply,,3,text_reply
118,293,Directed,6097,text_reply,,2,text_reply
196,293,Directed,6099,text_reply,,1,text_reply
118,196,Directed,6100,text_reply,,1,text_reply
118,110,Directed,6101,text_reply,,2,text_reply
130,99,Directed,6102,text_reply,,1,text_reply
110,118,Directed,6103,text_reply,,1,text_reply
130,130,Directed,6104,text_reply,,1,text_reply
118,28,Directed,6106,text_reply,,1,text_reply
118,193,Directed,6107,text_reply,,2,text_reply
125,142,Directed,6112,text_reply,,2,text_reply
142,125,Directed,6113,text_reply,,1,text_reply
61,110,Directed,6115,text_reply,,1,text_reply
118,61,Directed,6116,text_reply,,1,text_reply
61,118,Directed,6117,text_reply,,1,text_reply
61,28,Directed,6118,text_reply,,1,text_reply
118,304,Directed,6119,text_reply,,4,text_reply
193,5,Directed,6120,text_reply,,1,text_reply
307,139,Directed,6124,text_reply,,4,text_reply
125,209,Directed,6126,invite_members,,1,invite_members
61,101,Directed,6127,text_reply,,1,text_reply
142,5,Directed,6128,text_reply,,2,text_reply
307,5,Directed,6129,text_reply,,5,text_reply
34,81,Directed,6131,invite_members,,1,invite_members
307,293,Directed,6132,text_reply,,1,text_reply
293,307,Directed,6133,text_reply,,2,text_reply
101,5,Directed,6135,text_reply,,4,text_reply
101,28,Directed,6137,text_reply,,2,text_reply
101,107,Directed,6138,text_reply,,7,text_reply
107,101,Directed,6139,text_reply,,9,text_reply
5,28,Directed,6140,text_reply,,2,text_reply
28,5,Directed,6144,text_reply,,1,text_reply
5,107,Directed,6146,text_reply,,11,text_reply
307,101,Directed,6159,text_reply,,3,text_reply
101,307,Directed,6160,text_reply,,2,text_reply
307,28,Directed,6162,text_reply,,1,text_reply
5,307,Directed,6173,text_reply,,1,text_reply
107,307,Directed,6174,text_reply,,2,text_reply
5,101,Directed,6175,text_reply,,2,text_reply
307,107,Directed,6176,text_reply,,2,text_reply
28,107,Directed,6181,text_reply,,1,text_reply
188,101,Directed,6186,text_reply,,1,text_reply
101,323,Directed,6187,text_reply,,1,text_reply
193,118,Directed,6188,text_reply,,2,text_reply
293,142,Directed,6189,text_reply,,3,text_reply
18,142,Directed,6190,text_reply,,2,text_reply
139,293,Directed,6192,text_reply,,2,text_reply
293,139,Directed,6193,text_reply,,4,text_reply
142,293,Directed,6197,text_reply,,2,text_reply
18,293,Directed,6202,text_reply,,1,text_reply
293,18,Directed,6203,text_reply,,1,text_reply
118,271,Directed,6204,text_reply,,4,text_reply
139,271,Directed,6205,text_reply,,2,text_reply
271,118,Directed,6206,text_reply,,5,text_reply
271,139,Directed,6207,text_reply,,2,text_reply
271,293,Directed,6209,text_reply,,1,text_reply
293,271,Directed,6210,text_reply,,1,text_reply
73,208,Directed,6211,invite_members,,1,invite_members
164,5,Directed,6212,text_reply,,4,text_reply
164,231,Directed,6216,text_reply,,1,text_reply
18,231,Directed,6217,text_reply,,1,text_reply
5,18,Directed,6218,text_reply,,1,text_reply
18,104,Directed,6219,text_reply,,1,text_reply
28,104,Directed,6220,text_reply,,2,text_reply
271,28,Directed,6221,text_reply,,4,text_reply
28,271,Directed,6222,text_reply,,2,text_reply
104,28,Directed,6224,text_reply,,1,text_reply
193,139,Directed,6229,text_reply,,2,text_reply
139,193,Directed,6230,text_reply,,2,text_reply
5,193,Directed,6232,text_reply,,1,text_reply
8,2,Directed,6234,text_reply,,1,text_reply
193,2,Directed,6235,text_reply,,1,text_reply
139,147,Directed,6236,text_reply,,1,text_reply
2,139,Directed,6237,text_reply,,1,text_reply
293,2,Directed,6239,text_reply,,4,text_reply
307,0,Directed,6241,text_reply,,2,text_reply
0,307,Directed,6243,text_reply,,2,text_reply
158,303,Directed,6244,text_reply,,1,text_reply
118,0,Directed,6246,text_reply,,2,text_reply
182,33,Directed,6247,text_reply,,1,text_reply
33,182,Directed,6248,text_reply,,1,text_reply
139,307,Directed,6249,text_reply,,3,text_reply
142,186,Directed,6251,text_reply,,1,text_reply
50,118,Directed,6252,text_reply,,2,text_reply
28,118,Directed,6254,text_reply,,1,text_reply
118,104,Directed,6255,text_reply,,3,text_reply
271,104,Directed,6259,text_reply,,2,text_reply
104,118,Directed,6263,text_reply,,1,text_reply
118,47,Directed,6267,text_reply,,1,text_reply
160,257,Directed,6268,text_reply,,1,text_reply
139,8,Directed,6269,text_reply,,1,text_reply
142,118,Directed,6270,text_reply,,11,text_reply
323,5,Directed,6273,text_reply,,1,text_reply
193,107,Directed,6274,text_reply,,1,text_reply
118,107,Directed,6276,text_reply,,96,text_reply
323,164,Directed,6279,text_reply,,1,text_reply
164,323,Directed,6280,text_reply,,1,text_reply
188,28,Directed,6281,text_reply,,1,text_reply
5,310,Directed,6285,text_reply,,1,text_reply
310,310,Directed,6286,text_reply,,1,text_reply
79,12,Directed,6287,invite_members,,1,invite_members
95,139,Directed,6288,text_reply,,1,text_reply
139,257,Directed,6289,text_reply,,13,text_reply
142,139,Directed,6290,text_reply,,1,text_reply
78,142,Directed,6291,text_reply,,1,text_reply
142,78,Directed,6292,text_reply,,1,text_reply
118,140,Directed,6293,text_reply,,7,text_reply
118,78,Directed,6294,text_reply,,2,text_reply
78,118,Directed,6295,text_reply,,1,text_reply
106,118,Directed,6298,text_reply,,10,text_reply
106,5,Directed,6299,text_reply,,1,text_reply
269,118,Directed,6300,text_reply,,2,text_reply
50,269,Directed,6301,text_reply,,1,text_reply
307,78,Directed,6302,text_reply,,1,text_reply
104,78,Directed,6303,text_reply,,1,text_reply
295,307,Directed,6305,text_reply,,1,text_reply
122,92,Directed,6306,text_reply,,1,text_reply
118,101,Directed,6307,text_reply,,7,text_reply
166,16,Directed,6308,invite_members,,1,invite_members
51,250,Directed,6310,text_reply,,1,text_reply
118,257,Directed,6311,text_reply,,86,text_reply
142,257,Directed,6314,text_reply,,1,text_reply
101,257,Directed,6315,text_reply,,1,text_reply
250,92,Directed,6317,text_reply,,2,text_reply
92,250,Directed,6318,text_reply,,2,text_reply
103,319,Directed,6321,text_reply,,1,text_reply
142,319,Directed,6322,text_reply,,2,text_reply
256,92,Directed,6323,text_reply,,1,text_reply
