Source,Target,Type,Id,Label,timeset,Weight,action
225,334,Directed,2970,invite_members,,1,invite_members
133,234,Directed,2971,invite_members,,1,invite_members
149,344,Directed,2972,text_reply,,2,text_reply
181,149,Directed,2973,text_reply,,4,text_reply
181,190,Directed,2974,text_reply,,1,text_reply
225,279,Directed,2975,text_reply,,1,text_reply
344,279,Directed,2976,text_reply,,2,text_reply
46,279,Directed,2978,text_reply,,1,text_reply
344,181,Directed,2979,text_reply,,9,text_reply
181,344,Directed,2980,text_reply,,9,text_reply
181,46,Directed,2981,text_reply,,1,text_reply
344,347,Directed,2983,text_reply,,1,text_reply
344,82,Directed,2984,text_reply,,3,text_reply
46,82,Directed,2985,text_reply,,1,text_reply
82,46,Directed,2986,text_reply,,1,text_reply
82,344,Directed,2987,text_reply,,2,text_reply
299,344,Directed,2989,text_reply,,1,text_reply
344,299,Directed,2990,text_reply,,1,text_reply
344,432,Directed,2991,text_reply,,1,text_reply
344,135,Directed,2992,text_reply,,1,text_reply
344,201,Directed,2993,text_reply,,3,text_reply
201,344,Directed,2995,text_reply,,1,text_reply
181,432,Directed,2997,text_reply,,1,text_reply
344,429,Directed,3000,text_reply,,2,text_reply
429,344,Directed,3001,text_reply,,1,text_reply
181,135,Directed,3003,text_reply,,2,text_reply
135,181,Directed,3004,text_reply,,1,text_reply
407,409,Directed,3006,invite_members,,1,invite_members
429,21,Directed,3007,text_reply,,2,text_reply
21,429,Directed,3008,text_reply,,1,text_reply
135,149,Directed,3010,text_reply,,1,text_reply
124,257,Directed,3011,text_reply,,1,text_reply
181,28,Directed,3012,text_reply,,1,text_reply
492,344,Directed,3013,text_reply,,6,text_reply
11,257,Directed,3016,text_reply,,1,text_reply
344,492,Directed,3017,text_reply,,2,text_reply
181,424,Directed,3021,text_reply,,4,text_reply
424,181,Directed,3022,text_reply,,1,text_reply
135,488,Directed,3023,text_reply,,1,text_reply
488,135,Directed,3025,text_reply,,1,text_reply
315,181,Directed,3026,text_reply,,2,text_reply
188,492,Directed,3028,text_reply,,2,text_reply
492,188,Directed,3029,text_reply,,1,text_reply
21,181,Directed,3032,text_reply,,2,text_reply
181,21,Directed,3033,text_reply,,1,text_reply
344,101,Directed,3037,text_reply,,1,text_reply
198,149,Directed,3038,text_reply,,1,text_reply
149,181,Directed,3039,text_reply,,4,text_reply
149,198,Directed,3040,text_reply,,1,text_reply
262,149,Directed,3043,text_reply,,1,text_reply
323,5,Directed,3044,text_reply,,1,text_reply
492,503,Directed,3045,text_reply,,3,text_reply
503,492,Directed,3046,text_reply,,1,text_reply
503,323,Directed,3048,text_reply,,4,text_reply
492,323,Directed,3050,text_reply,,4,text_reply
344,503,Directed,3052,text_reply,,2,text_reply
503,344,Directed,3056,text_reply,,1,text_reply
344,323,Directed,3057,text_reply,,5,text_reply
70,323,Directed,3063,text_reply,,1,text_reply
149,323,Directed,3064,text_reply,,2,text_reply
46,135,Directed,3065,text_reply,,1,text_reply
329,446,Directed,3067,invite_members,,1,invite_members
396,430,Directed,3068,invite_members,,1,invite_members
433,33,Directed,3069,invite_members,,1,invite_members
21,28,Directed,3070,text_reply,,1,text_reply
46,28,Directed,3071,text_reply,,1,text_reply
344,151,Directed,3072,text_reply,,1,text_reply
151,344,Directed,3073,text_reply,,1,text_reply
5,323,Directed,3075,text_reply,,1,text_reply
