Source,Target,Type,Id,Label,timeset,Weight,action
76,76,Directed,15251,remove_members,,1,remove_members
72,50,Directed,15253,text_reply,,1,text_reply
50,72,Directed,15254,text_reply,,1,text_reply
50,21,Directed,15255,text_reply,,2,text_reply
75,68,Directed,15257,invite_members,,1,invite_members
50,2,Directed,15258,text_reply,,1,text_reply
10,10,Directed,15260,remove_members,,1,remove_members
5,9,Directed,15265,remove_members,,1,remove_members
27,27,Directed,15268,remove_members,,1,remove_members
71,108,Directed,15274,text_reply,,1,text_reply
102,71,Directed,15275,text_reply,,1,text_reply
71,80,Directed,15276,text_reply,,1,text_reply
87,90,Directed,15277,invite_members,,1,invite_members
109,15,Directed,15278,invite_members,,1,invite_members
52,35,Directed,15279,text_reply,,2,text_reply
35,108,Directed,15280,text_reply,,1,text_reply
52,19,Directed,15281,text_reply,,2,text_reply
52,105,Directed,15282,invite_members,,1,invite_members
19,35,Directed,15283,text_reply,,1,text_reply
19,52,Directed,15284,text_reply,,1,text_reply
19,108,Directed,15286,text_reply,,1,text_reply
35,70,Directed,15287,text_reply,,1,text_reply
19,23,Directed,15288,text_reply,,1,text_reply
90,16,Directed,15289,invite_members,,1,invite_members
33,34,Directed,15290,invite_members,,1,invite_members
10,40,Directed,15291,invite_members,,1,invite_members
60,85,Directed,15292,invite_members,,1,invite_members
52,107,Directed,15293,text_reply,,2,text_reply
107,18,Directed,15294,text_reply,,2,text_reply
80,107,Directed,15295,text_reply,,1,text_reply
18,107,Directed,15297,text_reply,,2,text_reply
18,52,Directed,15298,text_reply,,3,text_reply
52,18,Directed,15299,text_reply,,8,text_reply
52,52,Directed,15305,text_reply,,4,text_reply
80,24,Directed,15309,invite_members,,1,invite_members
8,35,Directed,15311,text_reply,,1,text_reply
52,8,Directed,15314,text_reply,,8,text_reply
8,52,Directed,15315,text_reply,,3,text_reply
8,107,Directed,15316,text_reply,,4,text_reply
101,58,Directed,15318,invite_members,,1,invite_members
3,49,Directed,15319,invite_members,,1,invite_members
22,103,Directed,15320,text_reply,,3,text_reply
8,41,Directed,15321,invite_members,,1,invite_members
8,6,Directed,15322,text_reply,,2,text_reply
23,50,Directed,15323,text_reply,,1,text_reply
92,107,Directed,15324,text_reply,,1,text_reply
22,99,Directed,15325,invite_members,,1,invite_members
92,92,Directed,15326,text_reply,,1,text_reply
19,19,Directed,15327,text_reply,,1,text_reply
17,13,Directed,15328,invite_members,,1,invite_members
45,82,Directed,15329,invite_members,,1,invite_members
56,63,Directed,15330,invite_members,,1,invite_members
69,106,Directed,15331,invite_members,,1,invite_members
107,12,Directed,15332,text_reply,,2,text_reply
12,18,Directed,15333,text_reply,,1,text_reply
12,107,Directed,15334,text_reply,,2,text_reply
92,18,Directed,15335,text_reply,,1,text_reply
20,12,Directed,15336,text_reply,,1,text_reply
28,6,Directed,15337,text_reply,,1,text_reply
97,93,Directed,15338,invite_members,,1,invite_members
97,50,Directed,15339,text_reply,,1,text_reply
12,28,Directed,15340,text_reply,,2,text_reply
28,12,Directed,15341,text_reply,,2,text_reply
20,28,Directed,15343,text_reply,,1,text_reply
28,19,Directed,15345,text_reply,,1,text_reply
79,81,Directed,15347,text_reply,,1,text_reply
50,91,Directed,15348,text_reply,,1,text_reply
91,50,Directed,15349,text_reply,,1,text_reply
52,59,Directed,15350,text_reply,,2,text_reply
12,52,Directed,15353,text_reply,,4,text_reply
107,52,Directed,15356,text_reply,,1,text_reply
52,12,Directed,15359,text_reply,,1,text_reply
12,59,Directed,15363,text_reply,,1,text_reply
59,107,Directed,15369,text_reply,,1,text_reply
69,59,Directed,15373,text_reply,,2,text_reply
59,69,Directed,15374,text_reply,,1,text_reply
98,97,Directed,15375,text_reply,,1,text_reply
20,103,Directed,15376,text_reply,,1,text_reply
81,79,Directed,15377,text_reply,,1,text_reply
50,103,Directed,15378,text_reply,,1,text_reply
12,76,Directed,15380,text_reply,,1,text_reply
12,12,Directed,15381,text_reply,,1,text_reply
18,18,Directed,15382,text_reply,,1,text_reply
103,12,Directed,15384,text_reply,,1,text_reply
12,103,Directed,15386,text_reply,,1,text_reply
8,0,Directed,15387,text_reply,,1,text_reply
0,8,Directed,15388,text_reply,,1,text_reply
0,48,Directed,15389,text_reply,,1,text_reply
12,0,Directed,15390,text_reply,,1,text_reply
12,6,Directed,15391,text_reply,,3,text_reply
6,8,Directed,15395,text_reply,,2,text_reply
8,48,Directed,15396,text_reply,,1,text_reply
8,92,Directed,15400,text_reply,,1,text_reply
18,92,Directed,15401,text_reply,,1,text_reply
52,92,Directed,15402,text_reply,,1,text_reply
50,18,Directed,15403,text_reply,,1,text_reply
8,69,Directed,15404,text_reply,,1,text_reply
72,7,Directed,15405,text_reply,,1,text_reply
69,8,Directed,15407,text_reply,,1,text_reply
50,7,Directed,15408,text_reply,,1,text_reply
73,107,Directed,15409,text_reply,,1,text_reply
84,107,Directed,15410,text_reply,,1,text_reply
14,107,Directed,15411,text_reply,,1,text_reply
84,52,Directed,15412,text_reply,,1,text_reply
36,48,Directed,15413,text_reply,,1,text_reply
36,92,Directed,15414,text_reply,,1,text_reply
84,36,Directed,15415,text_reply,,1,text_reply
52,84,Directed,15416,text_reply,,1,text_reply
92,84,Directed,15417,text_reply,,1,text_reply
96,27,Directed,15418,invite_members,,1,invite_members
86,92,Directed,15419,text_reply,,1,text_reply
42,55,Directed,15420,invite_members,,1,invite_members
92,86,Directed,15421,text_reply,,1,text_reply
59,92,Directed,15422,text_reply,,1,text_reply
29,51,Directed,15423,invite_members,,1,invite_members
70,103,Directed,15424,text_reply,,1,text_reply
31,70,Directed,15425,text_reply,,1,text_reply
98,1,Directed,15426,invite_members,,1,invite_members
77,46,Directed,15427,invite_members,,1,invite_members
78,86,Directed,15428,invite_members,,1,invite_members
37,43,Directed,15429,invite_members,,1,invite_members
7,50,Directed,15430,text_reply,,1,text_reply
47,94,Directed,15431,invite_members,,1,invite_members
