Source,Target,Type,Id,Label,timeset,Weight,action
40,17,Directed,15203,invite_members,,1,invite_members
22,6,Directed,15206,text_reply,,1,text_reply
17,33,Directed,15209,invite_members,,1,invite_members
22,33,Directed,15210,text_reply,,1,text_reply
45,32,Directed,15211,invite_members,,1,invite_members
38,47,Directed,15212,invite_members,,1,invite_members
9,18,Directed,15213,invite_members,,1,invite_members
7,5,Directed,15215,invite_members,,1,invite_members
12,13,Directed,15216,text_reply,,1,text_reply
43,12,Directed,15217,text_reply,,1,text_reply
20,1,Directed,15218,invite_members,,1,invite_members
31,2,Directed,15219,invite_members,,1,invite_members
18,15,Directed,15220,invite_members,,1,invite_members
24,21,Directed,15221,invite_members,,1,invite_members
39,34,Directed,15222,text_reply,,1,text_reply
27,4,Directed,15223,invite_members,,1,invite_members
18,23,Directed,15224,invite_members,,1,invite_members
41,37,Directed,15225,text_reply,,1,text_reply
37,41,Directed,15226,text_reply,,1,text_reply
26,36,Directed,15227,invite_members,,1,invite_members
41,29,Directed,15229,text_reply,,1,text_reply
35,29,Directed,15230,text_reply,,1,text_reply
25,13,Directed,15231,text_reply,,1,text_reply
42,11,Directed,15232,invite_members,,1,invite_members
11,8,Directed,15233,invite_members,,1,invite_members
35,19,Directed,15234,text_reply,,1,text_reply
35,14,Directed,15235,text_reply,,1,text_reply
44,28,Directed,15236,text_reply,,1,text_reply
